PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
3HHR	A	AAH75013.1			37.0	9606.0	homo_sapiens	Eukaryota
1RG8	A	AAB29057.2	146.0		37.0	9606.0	homo_sapiens	Eukaryota
3GLY	A	AAB59297.1			25.0	105351.0	aspergillus_awamori	Eukaryota
1BNI	A	CAA31365.1		54.0	36.0	1390.0	bacillus_amyloliquefaciens	Bacteria
1OIA	A	AAH08290.1			37.0	9606.0	homo_sapiens	Eukaryota
1DKT	A	CAA38702.1			37.0	9606.0	homo_sapiens	Eukaryota
1IGV	A	AAA30420.1				9913.0	bos_taurus	Eukaryota
1HFZ	A	AAA30367.1		65.1		9913.0	bos_taurus	Eukaryota
1PDO	A	AAC74887.1	135.0		37.0	562.0	escherichia_coli	Bacteria
1SAK	A	AAP30003.1			37.0	9606.0	homo_sapiens	Eukaryota
1QGV	A	AAH19272.1	142.0		37.0	9606.0	homo_sapiens	Eukaryota
1K9Q	A	CAA56672.1			37.0	9606.0	homo_sapiens	Eukaryota
1KFW	A	CAB62499.1	435.0	50.5	29.0	203265.0	arthrobacter_sp	Bacteria
1QLP	A	BAG38005.1		58.9	37.0	9606.0	homo_sapiens	Eukaryota
2ABD	A	AAA30495.1				9913.0	bos_taurus	Eukaryota
1HK0	X	AAB38686.1			37.0	9606.0	homo_sapiens	Eukaryota
3B0K	A	CAA28797.1	123.0			9925.0	capra_hircus	Eukaryota
1KE4	A	AAA23441.1		54.6	37.0	562.0	escherichia_coli	Bacteria
3MBP	A	AAC43128.1		64.6	36.0	83333.0	escherichia_coli	Bacteria
1ZNJ	B	CAA08766.1		68.7	37.0	9606.0	homo_sapiens	Eukaryota
1RIS	A	AAF27295.1			72.0	274.0	thermus_thermophilus	Bacteria
1VQB	A	AAA32211.1				10863.0	enterobacteria_phage	Virus
1TYV	A	AAF75060.1				10754.0	salmonella_phage	Virus
1B26	A	CAA71058.1			79.0	2336.0	thermotoga_maritima	Bacteria
1FNA	A	AAD09450.1	91.0	63.7	37.0	9606.0	homo_sapiens	Eukaryota
2A01	A	AAA51747.1		59.2	37.0	9606.0	homo_sapiens	Eukaryota
1ZG4	A	AAB59737.1			37.0	562.0	escherichia_coli	Bacteria
1ANK	A	AAA23461.1		52.9	37.0	562.0	escherichia_coli	Bacteria
1IET	A	BAA02492.1				10116.0	rattus_norvegicus	Eukaryota
1CHK	A	AAA19865.1	238.0	43.2	28.0	69019.0	streptomyces_sp	Bacteria
5DFR	A	AAA87976.1		49.3	37.0	562.0	escherichia_coli	Bacteria
1OTR	B	CAA25704.1			28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
1ROP	A	AAB59736.1		73.9	37.0	562.0	escherichia_coli	Bacteria
1FKK	A	AAX09092.1				9913.0	bos_taurus	Eukaryota
1SSO	A	AAK42090.1			85.0	2287.0	sulfolobus_solfataricus	Archaea
1RN1	C	BAE64671.1			25.0	5062.0	aspergillus_oryzae	Eukaryota
1IFC	A	AAA41141.1	132.0			10116.0	rattus_norvegicus	Eukaryota
