PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
1VPB	A	AAO78754.1	451.0		37.0	226186.0	bacteroides_thetaiotaomicron	Bacteria
1RHS	A	AAA30753.1	296.0			9913.0	bos_taurus	Eukaryota
3MPD	A	CAD25514.1	151.0		36.0	6035.0	encephalitozoon_cuniculi	Eukaryota
3RRQ	A	AAH74740.1	129.0		37.0	9606.0	homo_sapiens	Eukaryota
2XMO	A	CAD00720.1	443.0		37.0	1639.0	listeria_monocytogenes	Bacteria
3CX8	B	AAG28597.1	203.0			10116.0	rattus_norvegicus	Eukaryota
1L8F	A	CAD56665.1	207.0		41.0	204285.0	melanocarpus_albomyces	Eukaryota
1O7Q	A	AAA30558.1	289.0			9913.0	bos_taurus	Eukaryota
3U1U	A	AAH15052.1	137.0		37.0	9606.0	homo_sapiens	Eukaryota
1V9F	A	AAA92957.1	325.0		37.0	562.0	escherichia_coli	Bacteria
1VHN	A	AAD35190.1	318.0		79.0	2336.0	thermotoga_maritima	Bacteria
4KRD	B	DAA07976.1	207.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
1NVP	B	AAI07156.1	57.0		37.0	9606.0	homo_sapiens	Eukaryota
2YZT	A	BAD71579.1	67.0		71.0	300852.0	thermus_thermophilus	Bacteria
3FBK	A	BAC87285.1	153.0		37.0	9606.0	homo_sapiens	Eukaryota
2HHJ	A	BAG37827.1	267.0		37.0	9606.0	homo_sapiens	Eukaryota
3Q85	A	BAC41120.1	169.0			10090.0	mus_musculus	Eukaryota
2FDB	M	AAC50785.1	164.0		37.0	9606.0	homo_sapiens	Eukaryota
2IRF	G	AAA39333.1	113.0			10090.0	mus_musculus	Eukaryota
4QTO	A	AAW38627.1	520.0		37.0	93062.0	staphylococcus_aureus	Bacteria
2PPV	A	AAO04146.1	332.0		34.0	176280.0	staphylococcus_epidermidis	Bacteria
2JFU	A	AFK58913.1	291.0		37.0	1352.0	enterococcus_faecium	Bacteria
1N4K	A	CAA33433.1	381.0			10090.0	mus_musculus	Eukaryota
2GS5	A	CAE50889.1	198.0		37.0	257309.0	corynebacterium_diphtheriae	Bacteria
4CI9	A	AAH00597.1	455.0		37.0	9606.0	homo_sapiens	Eukaryota
2YN2	A	CAA93399.1	279.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
2QOL	A	AAG43576.1	373.0		37.0	9606.0	homo_sapiens	Eukaryota
3FGE	A	ABI71883.1	203.0		21.0	318167.0	shewanella_frigidimarina	Bacteria
1J77	A	AHW76438.1	209.0		37.0	487.0	neisseria_meningitidis	Bacteria
4CFQ	C	CAG29341.1			37.0	9606.0	homo_sapiens	Eukaryota
2Y78	A	CAH39299.1	133.0		37.0	272560.0	burkholderia_pseudomallei	Bacteria
2Q1Z	B	ABA80279.1	195.0		28.0	272943.0	rhodobacter_sphaeroides	Bacteria
3CT5	A	ACE96036.1	159.0			10756.0	bacillus_phage	Virus
4MXN	A	EDN88021.1	247.0		37.0	411477.0	parabacteroides_merdae	Bacteria
3ZIE	A	AAB90460.1	86.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
3C10	A	BAG54670.1	423.0		37.0	9606.0	homo_sapiens	Eukaryota
3EOP	A	AAH93074.1	176.0		37.0	9606.0	homo_sapiens	Eukaryota
3CBL	A	EAX02114.1	377.0		37.0	9606.0	homo_sapiens	Eukaryota
4QYI	A	AAT34197.1	186.0		37.0	1392.0	bacillus_anthracis	Bacteria
3M1T	A	ABM01658.1	275.0		31.0	326297.0	shewanella_amazonensis	Bacteria
4APY	A	ABK74881.1	433.0		36.0	1772.0	mycobacterium_smegmatis	Bacteria
4HXY	A	AAQ84156.1	438.0		28.0	244967.0	streptomyces_sp	Bacteria
1N13	B	AAB98302.1	113.0		84.0	2190.0	methanocaldococcus_jannaschii	Archaea
1VYK	A	CAA29056.1	149.0			3562.0	spinacia_oleracea	Eukaryota
2W69	A	CAC85212.1	216.0			11320.0	influenza_a	Virus
1FNA	A	AAD09450.1	91.0	63.7	37.0	9606.0	homo_sapiens	Eukaryota
4O64	A	BAA97672.1	118.0		37.0	9606.0	homo_sapiens	Eukaryota
2CKF	A	CAG17576.1	454.0		28.0	279135.0	sphingomonas_sp	Bacteria
3KKZ	A	CAH07371.1	267.0		37.0	272559.0	bacteroides_fragilis	Bacteria
4UVJ	A	CAA86966.1	406.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4USR	A	EME00352.1	361.0		30.0	1212548.0	pseudomonas_stutzeri	Bacteria
1GH2	A	AAC05830.1	107.0		37.0	9606.0	homo_sapiens	Eukaryota
3FRK	A	AAR85519.1	373.0		54.0	1517.0	thermoanaerobacterium_thermosaccharolyticum	Bacteria
4MI7	A	AAL19988.1	140.0			216597.0	salmonella_typhimurium	Bacteria
3M45	A	BAC32876.1	108.0			10090.0	mus_musculus	Eukaryota
3DDS	A	AAA35906.1	848.0		37.0	9606.0	homo_sapiens	Eukaryota
3RKL	A	AAS89095.1	87.0			269145.0	sulfolobus_turreted	Virus
1JNP	A	AAB87461.1	116.0			10090.0	mus_musculus	Eukaryota
2ZD7	A	CAA96152.1	264.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
2JE6	A	AAK41030.1	277.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
3OD1	A	BAB07303.1	400.0		30.0	86665.0	bacillus_halodurans	Bacteria
4QEA	D	ACD72366.1						
1SJI	A	AAA30833.1	350.0			9615.0	canis_lupus	Eukaryota
2PA1	A	AAL65265.1	87.0		37.0	9606.0	homo_sapiens	Eukaryota
3JST	A	AAL53045.1	97.0		37.0	29459.0	brucella_melitensis	Bacteria
1YCO	A	AAO81441.1	279.0		37.0	226185.0	enterococcus_faecalis	Bacteria
4AYO	A	ABZ73160.1	447.0		29.0	366602.0	caulobacter_sp	Bacteria
3ETI	A	AAY32595.1	168.0			33734.0	feline_coronavirus	Virus
3CTR	A	BAG61572.1	101.0		37.0	9606.0	homo_sapiens	Eukaryota
1G12	A	BAB82381.1	167.0		24.0	5627.0	grifola_frondosa	Eukaryota
1JPC	A	AAA33346.1	109.0			4670.0	galanthus_nivalis	Eukaryota
3IGM	B	CZU00361.1			37.0	36329.0	plasmodium_falciparum	Eukaryota
3AVR	A	AAH93868.1	531.0		37.0	9606.0	homo_sapiens	Eukaryota
3I3V	A	CAB56683.1	405.0		27.0	1902.0	streptomyces_coelicolor	Bacteria
1Q7S	A	EAW94394.1	117.0		37.0	9606.0	homo_sapiens	Eukaryota
3H8N	A	AAC50336.1	195.0		37.0	9606.0	homo_sapiens	Eukaryota
2QVK	A	AAA62766.1	192.0			9615.0	canis_lupus	Eukaryota
3ABG	A	BAA02123.1	534.0		24.0	1859699.0	myrothecium_verrucaria	Eukaryota
4QPL	B	AAM81086.1	154.0		37.0	9606.0	homo_sapiens	Eukaryota
1LGP	A	BAA91817.1	116.0		37.0	9606.0	homo_sapiens	Eukaryota
1T1V	A	BAC25034.1	93.0			10090.0	mus_musculus	Eukaryota
3U1T	A	AAT70109.1	309.0			32644.0	miscellaneous_nucleic	Unknown
3L7Q	A	AAN58985.1	125.0		37.0	210007.0	streptococcus_mutans	Bacteria
1UXZ	A	AAB61462.2	131.0		30.0	39650.0	cellvibrio_mixtus	Bacteria
2XBT	A	AAG01230.2	160.0		32.5	35825.0	pseudobacteroides_cellulosolvens	Bacteria
3KZP	A	CAC98326.1	235.0		37.0	1639.0	listeria_monocytogenes	Bacteria
1TO0	A	CAB16060.1	167.0		35.0	1423.0	bacillus_subtilis	Bacteria
3TL3	A	ABL03600.1	257.0		32.0	362242.0	mycobacterium_ulcerans	Bacteria
4L3T	A	AAI11988.1	1014.0		37.0	9606.0	homo_sapiens	Eukaryota
1XYI	A	AAA80315.1	66.0		72.0	2285.0	sulfolobus_acidocaldarius	Archaea
4GFK	A	AAF93390.1	196.0		36.0	243277.0	vibrio_cholerae	Bacteria
4FPP	A	AAK25432.1	247.0			190650.0	caulobacter_crescentus	Bacteria
4BR6	A	ABQ52379.1	197.0		44.0	209285.0	chaetomium_thermophilum	Eukaryota
3I2A	A	AAC60535.1	187.0			3891.0	psophocarpus_tetragonolobus	Eukaryota
2V79	A	ABN10247.1	135.0		35.0	1423.0	bacillus_subtilis	Bacteria
3WXM	A	BAA80848.1	447.0		90.0	272557.0	aeropyrum_pernix	Archaea
12AS	A	AAA24249.1	330.0		36.0	83333.0	escherichia_coli	Bacteria
4KO7	A	CAA30279.1	128.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
3T58	A	AAH34131.1	519.0			10090.0	mus_musculus	Eukaryota
2EHD	A	AAS80758.1	234.0		71.0	300852.0	thermus_thermophilus	Bacteria
3SVL	A	AAC76736.1	193.0		36.0	83333.0	escherichia_coli	Bacteria
2HX0	A	AAX66919.1	154.0		36.0	28901.0	salmonella_choleraesuis	Bacteria
3A7L	A	AAA69072.1	128.0		36.0	83333.0	escherichia_coli	Bacteria
2HRP	L	CAA24189.1	218.0			10090.0	mus_musculus	Eukaryota
1YB3	A	AAL80292.1	175.0		100.0	2261.0	pyrococcus_furiosus	Archaea
2BR9	A	BAA32538.1	234.0		37.0	9606.0	homo_sapiens	Eukaryota
1WOL	A	BAB65695.1	122.0		75.0	273063.0	sulfolobus_tokodaii	Archaea
2FKN	A	BAA06643.1	552.0		35.0	1423.0	bacillus_subtilis	Bacteria
3GAZ	A	ABD27204.1	343.0		30.0	279238.0	novosphingobium_aromaticivorans	Bacteria
4KVX	A	CAB52427.1	156.0		25.0	284812.0	schizosaccharomyces_pombe	Eukaryota
4OHU	A	CCP44244.1	289.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
3NDZ	E	AAA23233.1	107.0		37.0	1493.0	clostridium_cellulovorans	Bacteria
3FND	A	AAO77931.1	312.0		37.0	818.0	bacteroides_thetaiotaomicron	Bacteria
2CXK	A	AAI51836.1	95.0		37.0	9606.0	homo_sapiens	Eukaryota
3BK2	A	AAS81121.1	562.0		71.0	262724.0	thermus_thermophilus	Bacteria
1HZF	A	AAI46674.1	367.0		37.0	9606.0	homo_sapiens	Eukaryota
3WDP	P	AHW49177.1	473.0		100.0	2261.0	pyrococcus_furiosus	Archaea
3D53	A	CAA15034.1	173.0			272947.0	rickettsia_prowazekii	Bacteria
3QHB	A	AAA81276.1	179.0		20.0	2762.0	cyanophora_paradoxa	Eukaryota
4FLA	A	ABD34791.1	152.0		37.0	9606.0	homo_sapiens	Eukaryota
1Y94	A	CAA26832.1	124.0			9913.0	bos_taurus	Eukaryota
1TC1	A	AAB46391.1	220.0		26.0	5693.0	trypanosoma_cruzi	Eukaryota
4QL4	A	PGB52890.1	315.0		37.0	260799.0	bacillus_anthracis	Bacteria
3NZM	A	BAA18870.1	168.0		35.0	1148.0	synechocystis_sp	Bacteria
3Q2I	A	AAQ61788.1	354.0		30.5	536.0	chromobacterium_violaceum	Bacteria
2WG7	A	CAB40842.1	130.0			4530.0	oryza_sativa	Eukaryota
1GPM	A	AAB18619.1	525.0		36.0	83333.0	escherichia_coli	Bacteria
3QKA	A	ACC39461.1	261.0		31.0	216594.0	mycobacterium_marinum	Bacteria
4JRM	D	AAF95167.1			36.0	243277.0	vibrio_cholerae	Bacteria
4WZA	E	AAA64709.1	276.0		29.5	354.0	azotobacter_vinelandii	Bacteria
3DFG	A	AAK85399.1	162.0		27.0	340.0	xanthomonas_campestris	Bacteria
3C4B	A	AAL84637.1	265.0			10090.0	mus_musculus	Eukaryota
4UBS	A	BAC75180.2	393.0		27.0	227882.0	streptomyces_avermitilis	Bacteria
3ZHN	A	AAG03470.1	159.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
1XM7	A	AAC07557.1	195.0			224324.0	aquifex_aeolicus	Bacteria
4MN9	A	AAA49525.1	176.0			8400.0	lithobates_catesbeiana	Eukaryota
2Y1B	A	AAA24508.1	128.0		36.0	83333.0	escherichia_coli	Bacteria
1HQ0	A	CAA50007.1	295.0		37.0	562.0	escherichia_coli	Bacteria
1G94	A	CAA41481.1	448.0		26.0	228.0	pseudoalteromonas_haloplanktis	Bacteria
1OHP	A	AAA25871.1	125.0		29.0	285.0	comamonas_testosteroni	Bacteria
2P5Y	A	BAD70414.1	311.0		71.0	300852.0	thermus_thermophilus	Bacteria
1EF1	A	AAH17293.1	294.0		37.0	9606.0	homo_sapiens	Eukaryota
1UZK	A	BAD16739.1	162.0		37.0	9606.0	homo_sapiens	Eukaryota
4HOI	A	BAE24272.1	114.0			10090.0	mus_musculus	Eukaryota
2W9S	A	CAA68824.1	161.0		37.0	1280.0	staphylococcus_aureus	Bacteria
4I77	Z	CAA48824.1	112.0		37.0	9606.0	homo_sapiens	Eukaryota
1J0W	A	AAH08992.1	103.0		37.0	9606.0	homo_sapiens	Eukaryota
4F25	A	CAA88401.1	115.0		37.0	9606.0	homo_sapiens	Eukaryota
4FWW	A	ACF47621.1	527.0		37.0	9606.0	homo_sapiens	Eukaryota
4AE5	A	BAB42921.1	167.0		37.0	1280.0	staphylococcus_aureus	Bacteria
3K5J	A	AAW90039.1	183.0		37.0	242231.0	neisseria_gonorrhoeae	Bacteria
1S35	A	AAA63259.1	214.0		37.0	9606.0	homo_sapiens	Eukaryota
2J9U	B	AAB67493.1	76.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
2PD2	A	BAB65103.1	108.0		75.0	273063.0	sulfolobus_tokodaii	Archaea
3N7L	A	BAA90661.1	424.0		37.0	1491.0	clostridium_botulinum	Bacteria
1P1J	A	DAA08650.1	533.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3SQF	A	AAC82574.1	114.0			11855.0	mason-pfizer_monkey	Virus
1P9A	G	AAA52596.1	290.0		37.0	9606.0	homo_sapiens	Eukaryota
3LJB	A	EAX09603.1	271.0		37.0	9606.0	homo_sapiens	Eukaryota
4F3L	A	AAC53200.1	361.0			10090.0	mus_musculus	Eukaryota
3V7D	B	CAA29113.1	464.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
1XKL	A	AAR87711.1	273.0			4097.0	nicotiana_tabacum	Eukaryota
1SZ2	A	BAB36691.1	332.0		37.0	562.0	escherichia_coli	Bacteria
3IEZ	A	BAH13867.1	114.0		37.0	9606.0	homo_sapiens	Eukaryota
1Z94	A	AAQ59114.1	147.0		26.0	243365.0	chromobacterium_violaceum	Bacteria
3VCA	A	AAK65058.1	412.0		28.0	266834.0	rhizobium_meliloti	Bacteria
3BEX	A	AAD35964.1	249.0		79.0	2336.0	thermotoga_maritima	Bacteria
4M0W	A	AAP82976.1	327.0			227859.0	human_sars	Virus
2YYU	A	BAD75440.1	246.0		55.0	235909.0	geobacillus_kaustophilus	Bacteria
3DMN	A	CCC78350.1	174.0		35.2	1590.0	lactobacillus_plantarum	Bacteria
4HR9	A	AAH67505.1	122.0		37.0	9606.0	homo_sapiens	Eukaryota
4IM7	A	AAN80428.1	506.0		36.0	199310.0	escherichia_coli	Bacteria
3CHJ	A	CAB86987.1	337.0					
3KYJ	A	CAD32761.1	144.0		31.0	1063.0	rhodobacter_sphaeroides	Bacteria
2P5S	A	AAH23566.1	199.0		37.0	9606.0	homo_sapiens	Eukaryota
1JY2	N	AAI02565.1	53.0			9913.0	bos_taurus	Eukaryota
4Q86	A	AAC73991.2	586.0		36.0	83333.0	escherichia_coli	Bacteria
2ZV2	A	AAD04566.1	298.0		37.0	9606.0	homo_sapiens	Eukaryota
1FYH	B	EAW47931.1	229.0		37.0	9606.0	homo_sapiens	Eukaryota
2Z3Q	B	CAG33345.1	107.0		37.0	9606.0	homo_sapiens	Eukaryota
3F7O	A	AAA91584.1	284.0		24.5	33203.0	purpureocillium_lilacinum	Eukaryota
2HE2	A	BAD92489.1	102.0		37.0	9606.0	homo_sapiens	Eukaryota
3MVU	A	ABF62623.1	226.0			292414.0	ruegeria_sp	Bacteria
1LV7	A	AAC76210.1	257.0		37.0	562.0	escherichia_coli	Bacteria
2VSH	A	AAK99952.1	236.0		37.0	1313.0	streptococcus_pneumoniae	Bacteria
2CYY	A	BAA30629.1	151.0		95.0	53953.0	pyrococcus_horikoshii	Archaea
2Q6Q	A	CAA50630.1	74.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4FC4	A	ADX19265.1	261.0			909946.0	salmonella_typhimurium	Bacteria
1TO4	A	AAA29935.1	156.0			6183.0	schistosoma_mansoni	Eukaryota
4KP3	C	BAE42441.1	103.0			10090.0	mus_musculus	Eukaryota
3H0O	A	ACX76541.1	240.0		37.0	833.0	fibrobacter_succinogenes	Bacteria
8I1B	A	CAA28637.1	152.0			10090.0	mus_musculus	Eukaryota
1ITW	A	BAA11169.1	741.0		29.5	354.0	azotobacter_vinelandii	Bacteria
2D0V	B	BAE16961.1	72.0		29.0	53399.0	hyphomicrobium_denitrificans	Bacteria
3N52	A	CAA37807.1	73.0			10090.0	mus_musculus	Eukaryota
3EHD	A	AAO82079.1	162.0		36.3	1351.0	enterococcus_faecalis	Bacteria
4GWI	A	BAE72438.1	153.0		37.0	28037.0	streptococcus_mitis	Bacteria
3AX2	A	AAB01506.1	73.0			10116.0	rattus_norvegicus	Eukaryota
4IHC	A	ACS84754.1	440.0		29.0	579405.0	dickeya_paradisiaca	Bacteria
1PMY	A	ACS38778.1	123.0		28.0	408.0	methylobacterium_extorquens	Bacteria
3K6Y	A	CCP46494.1	237.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
1XJD	A	BAG57313.1	345.0		37.0	9606.0	homo_sapiens	Eukaryota
3BQK	A	AAQ73926.1	360.0		37.0	5833.0	plasmodium_falciparum	Eukaryota
3ITW	A	CAJ34380.1	137.0		28.0	349725.0	micromonospora_sp	Bacteria
4IIY	A	AAY68499.1	371.0		37.0	562.0	escherichia_coli	Bacteria
4DOL	A	AAG51975.1	217.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
3M7F	B	BAE21875.1	176.0			10090.0	mus_musculus	Eukaryota
4OJ7	A	ABC37844.1	180.0		29.0	271848.0	burkholderia_thailandensis	Bacteria
1P90	A	AAG29822.1	145.0		29.5	354.0	azotobacter_vinelandii	Bacteria
2D7I	A	BAG54441.1	570.0		37.0	9606.0	homo_sapiens	Eukaryota
3F9R	A	EAN78058.1	246.0		30.0	5691.0	trypanosoma_brucei	Eukaryota
3E7O	A	BAG70169.1	360.0		37.0	9606.0	homo_sapiens	Eukaryota
3LOU	A	AAU46647.1	292.0		37.0	243160.0	burkholderia_mallei	Bacteria
1WKO	A	AAB41624.1	180.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
1TFD	A	CAA41424.1	304.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
2DD7	A	BAE78442.1	218.0			286301.0	chiridius_poppei	Eukaryota
3GWR	A	AAZ98089.1	144.0		30.0	292415.0	thiobacillus_denitrificans	Bacteria
3NFD	A	EFG81440.1	153.0		30.0	1697.0	corynebacterium_ammoniagenes	Bacteria
1NYC	A	BAB94795.1	111.0		37.0	196620.0	staphylococcus_aureus	Bacteria
2BOY	A	ANS32505.1	254.0		26.5	37919.0	rhodococcus_opacus	Bacteria
2ZGY	A	CAA27818.1	320.0		37.0	562.0	escherichia_coli	Bacteria
1UWV	A	AAA69295.1	433.0		36.0	83333.0	escherichia_coli	Bacteria
4K02	A	BAF01394.1	159.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
4ILL	A	AAK42192.1	289.0		74.0	273057.0	sulfolobus_solfataricus	Archaea
1L3L	B	AAC28121.1			27.0	358.0	rhizobium_radiobacter	Bacteria
1M7G	A	AAA81521.1	211.0		24.0	5076.0	penicillium_chrysogenum	Eukaryota
3VTH	A	AAM23435.1	761.0		75.0	273068.0	caldanaerobacter_subterraneus	Bacteria
4FSD	A	ACN39191.1	383.0			610260.0	cyanidioschyzon_sp	Eukaryota
2IJL	A	AAK88288.1	135.0			176299.0	agrobacterium_fabrum	Bacteria
3OVX	A	AAH02642.1	218.0		37.0	9606.0	homo_sapiens	Eukaryota
1P5D	X	AAG08707.1	463.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1C7G	A	AAA66390.1	456.0		28.0	48984.0	pantoea_agglomerans	Bacteria
2EHB	A	AED93278.1	207.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
4LLS	A	ABG30254.1	311.0		22.0	375451.0	roseobacter_denitrificans	Bacteria
3RHE	A	AAU28235.1	148.0		37.0	272624.0	legionella_pneumophila	Bacteria
4GAK	A	ADB42312.1	250.0		26.0	504472.0	spirosoma_linguale	Bacteria
3GM5	A	AAM23650.1	159.0		75.0	273068.0	caldanaerobacter_subterraneus	Bacteria
2PZ0	A	AAM24248.1	252.0		75.0	273068.0	caldanaerobacter_subterraneus	Bacteria
2OGF	A	AAB98398.1	122.0		84.0	2190.0	methanocaldococcus_jannaschii	Archaea
2F00	A	CAA38868.1	491.0		37.0	562.0	escherichia_coli	Bacteria
4BMA	A	EAL84676.1	509.0		26.0	746128.0	neosartorya_fumigata	Eukaryota
3CG0	C	ABB38428.1			32.0	207559.0	desulfovibrio_alaskensis	Bacteria
3CJJ	A	ABV03807.1	219.0		37.0	9606.0	homo_sapiens	Eukaryota
3DQY	A	ABQ79010.1	106.0		27.2	303.0	pseudomonas_putida	Bacteria
1TIB	A	AAC08588.1	269.0		41.5	5541.0	thermomyces_lanuginosus	Eukaryota
1X6Z	A	CAA26248.1	123.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
3W07	A	AAB84635.1	252.0		65.0	187420.0	methanothermobacter_thermautotrophicus	Archaea
1XX4	A	CAA43488.1	261.0			10116.0	rattus_norvegicus	Eukaryota
1V08	A	AAA65946.1	512.0			4577.0	zea_mays	Eukaryota
1CDW	A	BAG65425.1	179.0		37.0	9606.0	homo_sapiens	Eukaryota
2CG7	A	CAC20427.1	90.0		37.0	9606.0	homo_sapiens	Eukaryota
2PS1	A	DAA09792.1	226.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
2DG6	A	CAA19998.1	222.0		30.0	100226.0	streptomyces_coelicolor	Bacteria
4RCT	A	AAW89108.1	365.0		37.0	242231.0	neisseria_gonorrhoeae	Bacteria
2J0W	A	AAC43118.1	449.0		37.0	562.0	escherichia_coli	Bacteria
1L0S	A	AAG32660.1	90.0			7141.0	choristoneura_fumiferana	Eukaryota
2I06	A	BAA14085.1	309.0		37.0	562.0	escherichia_coli	Bacteria
3CMY	A	AAP13872.1	61.0		37.0	9606.0	homo_sapiens	Eukaryota
2OQ1	A	AAH53878.1	254.0		37.0	9606.0	homo_sapiens	Eukaryota
1FXK	A	AAB85183.1			65.0	145262.0	methanothermobacter_thermautotrophicus	Archaea
4J0E	A	CAA80153.1	320.0			6239.0	caenorhabditis_elegans	Eukaryota
3I5R	A	EAW51312.1	83.0		37.0	9606.0	homo_sapiens	Eukaryota
3NX2	A	ACJ26748.1	168.0		30.0	418698.0	enterobacter_sp	Bacteria
2VF7	A	AAF12187.1	842.0		30.0	1299.0	deinococcus_radiodurans	Bacteria
4KCX	A	AAH47900.1	117.0		37.0	9606.0	homo_sapiens	Eukaryota
2RDM	A	ABR63617.1	132.0		28.0	366394.0	sinorhizobium_medicae	Bacteria
4HA6	A	BAD82818.1	508.0		26.0	381.0	rhizobium_loti	Bacteria
2OOQ	A	AAI53301.1	286.0		37.0	9606.0	homo_sapiens	Eukaryota
4REV	A	AAA33662.1	164.0			3888.0	pisum_sativum	Eukaryota
2WHL	A	AML27065.1	294.0		30.0	76935.0	bacillus_agaradhaerens	Bacteria
4Q8G	A	DAA08012.1	461.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3Q20	A	BAC09057.1	126.0		55.0	197221.0	thermosynechococcus_elongatus	Bacteria
1NZA	A	BAD71179.1	103.0	112.7	72.0	274.0	thermus_thermophilus	Bacteria
3TC2	A	AAM10743.1	187.0			4113.0	solanum_tuberosum	Eukaryota
4AEZ	A	CAB57442.1	401.0		27.5	4896.0	schizosaccharomyces_pombe	Eukaryota
4NAW	B	AAH93011.1	275.0		37.0	9606.0	homo_sapiens	Eukaryota
2BF6	A	CAA60796.1	449.0		37.0	1502.0	clostridium_perfringens	Bacteria
2CGQ	A	AAK44261.1	113.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
3AIH	A	AAH23513.2	124.0		37.0	9606.0	homo_sapiens	Eukaryota
4RMH	A	AAK51133.1	304.0		37.0	9606.0	homo_sapiens	Eukaryota
3KE3	A	AAZ18050.1	379.0		20.0	259536.0	psychrobacter_arcticus	Bacteria
1O2D	A	AAD36001.1	371.0		79.0	2336.0	thermotoga_maritima	Bacteria
2H29	A	AAW38266.1	189.0		37.0	1280.0	staphylococcus_aureus	Bacteria
3LL7	A	AAQ66209.1	410.0		37.0	837.0	porphyromonas_gingivalis	Bacteria
2R2I	A	AAD47879.1	198.0		41.0	9031.0	gallus_gallus	Eukaryota
2BWK	A	AAH55355.1	121.0			10090.0	mus_musculus	Eukaryota
3OMS	A	AAP09394.1	138.0		30.0	226900.0	bacillus_cereus	Bacteria
4JMK	A	AAH38231.1	152.0		37.0	9606.0	homo_sapiens	Eukaryota
4F3H	A	AAM41570.1	250.0		27.0	340.0	xanthomonas_campestris	Bacteria
3EJJ	X	BAB23691.1	289.0			10090.0	mus_musculus	Eukaryota
